C0 (1065 objects)	C1 (108 objects)	C2 (511 objects)
851471	856112	852491
851666	854700	850614,852639
856924,851676	855243	854433
851212	855593	850605
854446	852330	850543
855879	856855	856009
852822	855501	853925
854078	854527	851591
850892	856691	850643
856530	855168	853303,853933
851618	856533	851480
856386,853861	850612	854168
850824	856600	856870
855663	851636	850805
853628	854385	855503
854808,855288	854653	855784
855925	855346	854420
856704	853602	855842
852757	850588	854014,852154,852720,852844
853559	856263	854933
855936	852538	853344
853671	856765	855866
850872	854902,851169	851516
854419	851256	856201
855587	852245	850691
851833	856673	852231
850682,856352	852794	850409
850964,854342	856508	855783
852545	854869	852081
854703	854263	856775
853643	852842	853361,853891
853083	855356	850786
851337	853422	854943
853896	853427	855436
856837	852239	854406,855963
851548	854435	856222
853993	853906	850368,855736
854117	851158	855898
855972	853218	852172
856727	850868	851114
854551	852712	850930
854309	853827	853870
852922,851058	856370	853131
850550	851136	852306
852758	855077	853585
852293	852521	852424
852602,854635,853235,853204,854008,853214,853209	850973	853782
854677	854539	851892
852775	850505	851620
851822	850530	855532
852241	855480	854855
855558	851928	854179
856169	851935	850317
853161	853503	856384
854088	853955	855043
855400	855594	855739
856078	855869	854320
855919	854505	856042
851364	856006	850500
851387	856092	851429
851545	853318	853104
851932	850554	851518
853009	853475	852673
854696	853298	856886
853374	856576	853384
853421	856910	852568
853494	852670	855447
853714	853187	851810,852284
853834	852247	856779
853964	850343	850946
851137	851372	852763
854895	851311	854135
855241	856804	851468
854428	856736	852194
856065	855196	852199
854732	851979	850430
851073	856715	851454
853322	856919	851865
853962	852992	851878
854513	856466	856702
856925	856520	852607
856187	853640	852610
855395	853690	852735
853710	850719	852974
850549	850758	856387
852224,856823	850996	856514
851660	856302	856577
852001	855326	854742
855420	855444	855101
856722	855386	855102
851812	851358	855256
852391	852691	855319
854105	853739	855764
854026	855649	854372
850392	854090	854454
851342	854262	856171
851076	854326	856220
854867	852066	853052
855747	854436	852495
855761	854456	851671
854261	855845	850714
856121	855981	850327
853922	856000	854913
854157	852862	854445
850620	853016	853651
852017	851800	851391
853806	856862	853033
850628	852577	855952
855269		851456
855310		851647
855418,854036		854882
854162		854544
850585		853036
850581		853168
853183		856731
850558		854284
855474		856422
851484,851122		854810
852797		852037
851768		855661
856672		851493
853393		852515,852824
850764		852523
852565		850370
852295		856831
852107		851634
852200		851814
855636		851911
850456		852644
853884		852679
852661		855675
852554		853307,853927
851963		853670
852439		851665
850304		851266
853419		850829
855790		851069
853839		855540
856163		850906
855274		854680
851444		852772
854158		854156
853595		852394
855477		852376
851450		856733
852308,851572		853097
852825		852177
852916		853386
851196		854772
851214		851772
852223		853709
852248		850747
852264,853233,854634,855802		854900,851171
852349		853135
852432		852499
852569		851996
851407		852068
851508		852092
851656		855324
851746		850860
851893		852796
851895		853841
851925		856409,850580
851969		853382
856657		851360
856692		853490
856716		855320
856723		855454
856744		855710
856901		855902
852747		856011
852773		851410
852857		851394
852888		856423
852985		852258
853108		856306
853160		852325
856373		856571
856388,853864		851086
856403		851938
856490		851503
856573		856828
854662		853259
854682		852740
854760		852259
853335		852666
853363,853888		856498
853365		856076
853376		854257
853409		850489
853455		855248
853458		853387
853462		853717
853492		856470
853569		852762
853669		856876
853781,856059		850613
853833		852754
850652		850864
850796		855669
850807		850562
850935		855844,855221
851049		854444
851099		856303
851113		852646
851115		852113,850877
854881		852185
855158		852242
855273		852346
855471		852366
855481		852590
855618,854276		851414
855626		851487
855664		851558
855774		851576
854020		851694
853997		852023
854116		852059
854222		852142
854293		856739
854497		856909
854501		853775
855838		852648
856021		852688
856040		852892
856063		854718
856070		854745
856136		854805
856168		853273
856223		853502
856254		853563
856305		853642
856317		853675
850491		853798
855227		853840
853311		853859
856465		853936
851726		850727
851260		855428
853121		853371
853272		851126
853849		855003
852418		855080
851322		855215
856145		850775
855998		855742
850963		855751
853852		854208
851818		854384
851061		854467
854166		855821
854164		855895
856680		856002
852071		856182
856720		856214
850704		856319
855779		853011
852789		851213
855708		851877
850625		851582
856382		853316
852385		850552
854024		855099
854879		855705
855131,853732		854335
855928		850452
850941		850749
851657		853856
854508		851532
854791		850498
852451		850507
852013		850602
855029		852044
855302		855786
853497		853203
854185		853581
856425		852752
855600		856689
855203		854260
853167		851207
852873		853357
854119		852372
856830		855459
851557		850540
853712		855342
854063		852003
854735		852971
850490		851475
851461		855933
851408		850366
854980		856424
852322		854919
852438		854153
851403		854484
851565		851068
851832		856376
851885		850820
851899		855691
852647		851431
853175		852261
855104		852266
