C0 (1065 objects)	C1 (108 objects)	C2 (511 objects)
2539055	2542075	2543465
2542925	2540845	2542634
2542252	2540506	2539189
2538913	2541829	2539648
2543549	2540846	2543280
2541666	2540081	2539952
2542622	2542823	2543068
2540268	2539723	2541725
2540407	2540746	2539278
2539676	2541503	2542948
2539188	2541067	2541233
2540466	2538953	2542401
2542839	2540432	2541193
2540699	2542108	2541794
2539739	2542233	2542096
2541350	2543619	2539922
2539791	2543626	2539566
2540738	2542920	2541780
2540057	2538821	2543471
2541584	2543360	2541088
2543358	2539280	2541881
2540405	2542181	2539345
2542481	2539372	2539270
5802702	2541538	2542339
2541195	2539135	2539194
2540976	2543661	2543316
2540517	2540320	2543107
2543328	2540570	2543432
2539795	2542071	2542501
2540295	2542553	2541179
2539788	2542373	2541205
2540303	2539387	2539142
2542023	2540589	2539411
2539154	2540381	2541290
2541642	2542062	2540919
2540479	2538912	2541506
2539701,2540851	2539670	2542020
2538892,2542912	2540626	2539781
2539680,2543642	2542082	2541611
2542783	2542885	2538841
2539588,2540015	2539008	2543027
2543563	2542691	2542724
2540274	2540527	2542812
2541578	2539616	2541407
2540411	2542162	2541927
2541116,2542190	2540573	2543408
2539976	2540308	2543469
2541317	2541210	2539241
2539548,2541130	2539784	2538729
2539192	2539501	2539426
2542937	2543200	2540222
2539293	2540917	2539379
2540343	2542592	2543607
2540071	2543026	2541569
2542607	2539884	2539161
2540319	2541315	2542403
2543678	2541306	2542832
2539918	2541731	2539802
2543609	2540425	2542649
2542253	2538868	2539393
2541165	2540520	2540779
2539613	2543040	2540622
2540192	2539218	2540784
2542951	2543163	3361477
2541183	2540790	2542835
2539343	2540372	2539289
2541379	2540202	2542594
2541634	2539673	2539523
2539480	2541490	2539652
2542205	2540403	2541551
2539263	2539181	5802929
2541048	2539148	2540181
2541120	2542976	2542380
2540961	2542123	2542438
2541900	2540130	2543502
2540550	2542523	2539686
2539985	2541498	2539074
2543174	2543676	2538985,2542447
2541915	2540535	2541078
2542031	2541813	2541010
2541579	2542833	2541123
3361433	2541554	2541885
2543342	2541199	2539152
2543612	3361391	2542064
2540598	2539776	2540055
2542008	2542529	2539679
2541297	2542572	2540392
2539570	2543128	2538952
2541486	2540848	2540725
2538741	2540368	2541270
2542704	2541022	2539847
2542924	2539019	2542667
2541338	2541790	2540068
2541706,2539870	2542446	2538976
2540853	2538954	2541420
2541660	2542821	2543680
2540612	2540344	2539017
2538748	2542747	2541180
2540279	2542899	2539625
2538966,2542390	2540484	2539215
2539937	2543618	2543020
3361393	2539790	2539650
2539538	2538918	2543141
2543112	2540190	2542199
2541030	2540775	2542855
2538712	2539806	2541849
2541385	2541818	2542354
2540594	2539087	3361260
2538897		2540255
2539617		2540680
2541468		2539026
2543630		2539378
2542358		3361518
2538785		2543205
2542406		2543122
2541483		3361462
2542721		2541268
2543475		2543070
2541327		2543114
2541128		2539671
2539146		2542598
2543395		2541117
2540795,2541678		2539253
2542242		2539764
2542467,2541220,2539804		2543580
2538833		3361415
2541386		2543037
2540541		2540448
2539729		2539207
2542248		2542996
2540314		2538862
2543669		2543496
2538703		2540744
2540874		2539753
2542112		2541158
2541630		2542509
2540503		3361354
2539592		2542391
2539835		2542435
2540252		2538881,2542638
2539946		2541699
2540018		2540032
2541719		2539996
2540672		2540083
2540471		2541631
2541380		2539269
2538753		2541526
2543175		2543228
2543241		2541744
2539045,2541983,2541531		2542366
2542124		2541690
2539434		2542651
2539861		2538999
2541157		2543386
2540027		2541726
2539563		2540633
2540674		2542537
2542560		2539926
2543219		2543490
2541293		2541300
2543540		2541508
2539694		2542532
2539121		2543305
2540076		2540205
2539689		2539231
2538768		2539705
2539520		2542225
2540469		2541887
2543212		2540821
2539758		2541436
2540362		2542396
2543087		2541412
2542534		2541216
2539924		2542415
2541461		2540620
2539441		2543284
2539889		2539826
2542554		2542880
2542425		2539580
2542802		2541632,2539460
2543454		2541871,2541153
2543126		2539845
2540097		2543406
2541489		2540050
2540461,2543017		2541875
2540284		2542078
2542997		2540710
2539425		2539366
2540529		2543002
2542668		2539173
2541636		2542818
2542038		2543645
2542083		2539344
2539473		2542882
2539129		2543222
2539973		2541727
2542298		2540025
2543527,2538948		2539067
2543155		2542138,2541445
2539491		2542750
2538832		2541819
2539881		2539377
2541610		2542310
2539020		2542054
2540537		2542540
2538955,2543426		2539943
2542351		2543460,2540135
2543371		2539752
