C0 (115 objects)	C1 (19 objects)	C2 (81 objects)	C3 (21 objects)
854078	854157	851480	856924,851676
855663	852773	853993	854419
850872	853781,856059	854117	854026
853083	856465	855972	851865
852922,851058	853272	854014,852154,852720,852844	851647
852293	855998	852775	852230
855400	856203	853361,853891	855971
851660	853125	855395	851086
852391	853463	852306	850864
855269	853844	855532	851558
854162	856147	852295	852648
851484,851122	856674	852763	852559
852107	854334	852264,853233,854634,855802	856820
850304	850423	851878	853951,855292
853419	851698	854682	850997
851196	851942	853833	855321
851407	853534	851115	856294
851656	852317	855626	854292
851969	853348	855764	852291
856692		854372	851420
853160		856021	853147
853458		856720	
851049		853651	
855158		852515,852824	
855664		854680	
855774		856891	
856063		854778	
856145		852092	
852789		855201	
850625		851503	
855600		854257	
852438		856876	
851403		851421,851339	
855492		852346	
855357		851487	
855993		852023	
852549		856739	
851195		856448	
851419,851336		854872,855303	
852802		850466,851182,855588	
855424		855895	
854518		855705	
856411		854127	
856226		852266	
856687		852286,851564	
855581		852423	
852146		850367	
851326		851351,853624	
854711		853538	
853855		855804	
853326,853916		855085	
850631		850712	
856815		856664,853510	
855301		852977	
855639		853170	
854515		856513	
856320		850630	
851924		850898	
854469		855509	
855403		856911	
855746		855682	
855042		853757	
854165		851006	
851632		856140	
853438		851785	
855695		856609	
850894		854651	
850745		855829	
852704		854889	
850298		856013	
854211		855732	
852313		852636	
851319		854229	
851477,855173		854765	
851499		850950	
851530		855897	
851894		852853	
852225		855552	
856846		854241	
852651		853733,855130	
855889		850577	
852995			
856462			
856553			
856575			
854717			
853317			
853358			
853750			
853894			
850649			
850944			
850982			
854865			
854877			
855426			
855514			
855591			
851713			
856488			
854060			
856017			
854286			
854417			
854448			
854519			
855875			
855884			
853792			
856228			
851369,855512			
855560,856544			
853364			
855489			
856746			
