C0 (96 objects)	C1 (14 objects)	C2 (25 objects)	C3 (25 objects)	C4 (39 objects)
855663	854157	854117	851822	856704
850872	852773	854088	854026	853993
853083	856465	853964	856163	855972
852922,851058	853272	855761	852916	852775
852293	855998	854385	852451	854943
855400	853125	852432	854185	855420
851660	853463	855302	851565	852295
855269	853844	854680	852811	850456
854162	856674	856529	856106	853833
851484,851122	850423	853985	853521	851115
852107	851942	852287	852903	853033
850304	853109	851763	852620	850941
853419	853534	852973	855971	853497
851407	852317	856404	850981	854466
851656		854997	851503	850637
851969		852469	850864	854816
856692		851334	854330	856423
853160		856398	853949	852380,852250
853458		855159	851027	853968
851049		855536	850452	854903
855158		855665	850709	856560,855464
855664		854023	856294	851682
856063		854889	856197	851748
856145		856438	853305,853931	852169
850625		851898	855876	850687
855600				854127
851403				850821
855357				855804
852549				856913,851667
851195				856601
851419,851336				851098
852802				856911
854518				851006
856411				856609
856226				854699
856687				856013
855581				854229
852146				852853
854711				855552
853855				
850631				
856815				
854515				
856320				
855403				
855746				
855042				
854165				
851632				
853438				
855695				
850894				
850745				
852704				
850298				
854211				
852313				
851319				
851477,855173				
851499				
851530				
852225				
856846				
852651				
855889				
852995				
856462				
856553				
856575				
854717				
853317				
853358				
853750				
853894				
850944				
850982				
854865				
854877				
855426				
855514				
855591				
851713				
856488				
854060				
856017				
854286				
854417				
854519				
855875				
855884				
853792				
856228				
851369,855512				
855560,856544				
853364				
856746				
