C0 (246 genes)	C1 (255 genes)
Objects	Objects
O1000	O01
O117	O03
O119	O05
O129	O07
O130	O08
O131	O100
O132	O102
O142	O106
O145	O11
O147	O113
O148	O118
O149	O12
O150	O121
O152	O123
O157	O126
O158	O127
O161	O13
O164	O133
O166	O134
O168	O135
O171	O14
O175	O140
O176	O141
O178	O143
O182	O15
O187	O156
O193	O16
O196	O165
O204	O167
O205	O17
O209	O183
O210	O184
O212	O185
O222	O188
O223	O189
O238	O197
O239	O202
O243	O207
O245	O21
O250	O218
O253	O22
O257	O226
O260	O228
O268	O231
O270	O236
O273	O237
O276	O24
O290	O240
O303	O241
O305	O248
O307	O25
O314	O259
O320	O266
O329	O269
O341	O27
O346	O271
O35	O275
O356	O278
O357	O28
O368	O282
O37	O284
O371	O288
O372	O29
O377	O296
O378	O301
O38	O302
O383	O306
O384	O31
O390	O312
O391	O313
O397	O319
O40	O32
O400	O321
O403	O322
O406	O325
O411	O33
O413	O330
O419	O332
O422	O333
O427	O334
O430	O338
O432	O340
O439	O342
O440	O344
O446	O345
O447	O347
O449	O349
O45	O350
O452	O351
O453	O353
O456	O355
O457	O360
O458	O362
O46	O366
O463	O370
O473	O376
O477	O386
O479	O39
O48	O394
O480	O395
O484	O396
O491	O399
O497	O401
O498	O402
O50	O404
O501	O408
O508	O412
O514	O420
O515	O421
O519	O426
O521	O429
O530	O437
O531	O441
O533	O455
O535	O460
O540	O465
O550	O47
O552	O471
O553	O478
O555	O481
O56	O483
O567	O487
O571	O489
O573	O490
O579	O494
O591	O499
O593	O506
O596	O507
O604	O513
O605	O516
O609	O525
O610	O534
O615	O538
O618	O539
O619	O542
O626	O545
O627	O546
O629	O548
O630	O551
O633	O563
O634	O565
O637	O569
O64	O570
O643	O572
O644	O578
O648	O585
O658	O586
O661	O587
O663	O589
O670	O59
O672	O597
O673	O599
O676	O60
O677	O600
O69	O603
O690	O606
O693	O612
O697	O624
O702	O632
O709	O635
O714	O639
O715	O645
O717	O649
O718	O650
O722	O656
O723	O657
O724	O659
O727	O66
O729	O660
O73	O664
O741	O665
O744	O666
O748	O671
O749	O680
O751	O681
O753	O696
O756	O698
O761	O704
O763	O706
O768	O72
O769	O721
O77	O730
O771	O731
O776	O732
O779	O737
O784	O738
O786	O740
O789	O743
O792	O752
O797	O758
O805	O773
O809	O777
O811	O781
O812	O783
O815	O791
O819	O795
O82	O802
O821	O803
O822	O806
O829	O807
O834	O808
O836	O810
O840	O813
O845	O814
O847	O825
O855	O826
O857	O828
O858	O832
O859	O835
O86	O837
O862	O838
O864	O843
O865	O846
O874	O851
O897	O852
O899	O854
O90	O860
O901	O863
O903	O867
O908	O868
O915	O869
O916	O870
O917	O881
O918	O884
O919	O885
O924	O886
O932	O889
O939	O890
O94	O893
O945	O894
O953	O898
O956	O900
O96	O906
O961	O910
O964	O914
O968	O920
O972	O922
O974	O926
O98	O931
O982	O933
O984	O942
O986	O946
O988	O949
O989	O95
O993	O951
O998	O954
	O959
	O962
	O963
	O978
	O979
	O980
	O981
	O991
	O996
