Objects	t0	t1	t2
O01	-1.14	0.38	0.75
O02	1.15	-0.68	-0.47
O03	0.0	0.0	0.0
O04	0.0	0.0	0.0
O05	-0.96	1.04	-0.08
O06	-0.84	1.11	-0.27
O07	0.0	0.0	0.0
O08	0.0	0.0	0.0
O09	-1.06	0.92	0.14
O10	-0.96	1.04	-0.08
O100	-0.58	-0.58	1.15
O1000	0.99	-1.01	0.02
O101	1.1	-0.85	-0.26
O102	-1.12	0.32	0.8
O103	-0.36	-0.77	1.13
O104	1.06	-0.93	-0.13
O105	1.07	-0.17	-0.9
O106	-0.58	-0.58	1.15
O107	-0.77	-0.35	1.13
O108	0.43	-1.14	0.72
O109	0.98	0.05	-1.02
O11	-1.15	0.58	0.58
O110	0.33	0.79	-1.12
O111	0.73	0.41	-1.14
O112	0.48	-1.15	0.67
O113	-0.58	-0.58	1.15
O114	1.15	-0.58	-0.58
O115	1.15	-0.58	-0.58
O116	-0.81	-0.31	1.12
O117	1.15	-0.58	-0.58
O118	-1.15	0.66	0.49
O119	0.94	0.11	-1.05
O12	-1.1	0.86	0.23
O120	1.15	-0.58	-0.58
O121	-0.65	-0.5	1.15
O122	1.15	-0.64	-0.51
O123	-1.15	0.63	0.52
O124	0.59	0.56	-1.15
O125	-1.03	0.06	0.97
O126	-1.15	0.46	0.69
O127	-1.09	0.88	0.21
O128	0.94	-1.05	0.12
O129	1.15	-0.58	-0.58
O13	-1.15	0.66	0.49
O130	1.15	-0.58	-0.58
O131	1.11	-0.27	-0.84
O132	0.64	0.51	-1.15
O133	-0.58	-0.58	1.15
O134	-1.13	0.37	0.76
O135	0.0	0.0	0.0
O136	0.0	0.0	0.0
O137	0.71	-1.14	0.44
O138	1.15	-0.58	-0.58
O139	0.17	-1.07	0.9
O14	0.0	0.0	0.0
O140	-1.1	0.24	0.86
O141	-0.58	-0.58	1.15
O142	1.15	-0.52	-0.63
O143	-0.58	-0.58	1.15
O144	-0.58	-0.58	1.15
O145	1.11	-0.83	-0.28
O146	1.15	-0.58	-0.58
O147	0.96	0.08	-1.04
O148	0.93	0.12	-1.06
O149	0.91	0.16	-1.07
O15	-1.13	0.37	0.76
O150	1.15	-0.58	-0.58
O151	1.08	-0.89	-0.18
O152	1.15	-0.51	-0.64
O153	1.15	-0.66	-0.49
O154	-0.58	1.15	-0.58
O155	1.09	-0.22	-0.87
O156	-1.15	0.6	0.55
O157	1.11	-0.29	-0.82
O158	1.15	-0.58	-0.58
O159	0.07	0.96	-1.03
O16	-1.05	0.12	0.94
O160	-1.05	0.95	0.1
O161	1.15	-0.58	-0.58
O162	0.0	0.0	0.0
O163	-1.15	0.7	0.44
O164	1.15	-0.68	-0.47
O165	-1.08	0.2	0.89
O166	1.08	-0.18	-0.9
O167	0.0	0.0	0.0
O168	1.13	-0.77	-0.36
O169	0.36	0.77	-1.13
O17	-1.09	0.23	0.87
O170	-0.58	1.15	-0.58
O171	0.0	0.0	0.0
O172	-1.07	0.91	0.15
O173	0.54	-1.15	0.61
O174	1.15	-0.55	-0.6
O175	0.9	0.18	-1.08
O176	1.15	-0.47	-0.68
O177	-0.58	1.15	-0.58
O178	1.06	-0.13	-0.93
O179	1.15	-0.47	-0.68
O18	-0.83	1.11	-0.27
O180	-1.15	0.63	0.52
O181	0.25	-1.1	0.85
O182	1.01	-0.02	-0.99
O183	0.0	0.0	0.0
O184	-1.1	0.85	0.25
O185	0.0	0.0	0.0
O186	-0.58	1.15	-0.58
O187	1.15	-0.64	-0.51
O188	-0.85	-0.25	1.1
O189	-1.11	0.27	0.84
O19	0.0	0.0	0.0
O190	0.0	0.0	0.0
O191	-0.07	-0.96	1.03
O192	0.75	-1.14	0.39
O193	1.14	-0.39	-0.75
O194	0.21	0.88	-1.09
O195	-1.11	0.26	0.84
O196	1.11	-0.29	-0.83
O197	-1.04	0.08	0.96
O198	-1.07	0.16	0.91
O199	-0.02	1.01	-0.99
O20	-0.49	1.15	-0.66
O200	-0.58	1.15	-0.58
O201	1.14	-0.4	-0.73
O202	-1.13	0.78	0.35
O203	0.0	0.0	0.0
O204	0.77	0.36	-1.13
O205	0.69	-1.15	0.46
O206	0.0	0.0	0.0
O207	-0.82	-0.3	1.12
O208	0.0	0.0	0.0
