Starting data and time	Wednesday 15 March 2017 (15:39:15)
Ending date and time	Wednesday 15 March 2017 (15:39:45)
Time consumed	0 hours, 0 minutes, and 29 seconds
Number of datasets	3
Total number of input objects	1000
Objects included in the analysis	1000
Objects filtered out from the analysis	0
Number of clusters	3
Total number of objects in clusters	394
Objects not included in any cluster	606
Min cluster size	71
Max cluster size	201
Average cluster size	131.333333333
**********************************
Objects included in all datasets	1000
Objects missed from 1 dataset	0
Objects missed from 2 datasets	0
Objects missed from 3 datasets	0
Objects missed from more than 3 datasets	0
