C0 (104 genes)	C1 (21 genes)	C2 (22 genes)	C3 (22 genes)
Objects	Objects	Objects	Objects
O117	O251	O123	O100
O129	O269	O126	O106
O130	O315	O184	O113
O131	O322	O236	O188
O142	O333	O271	O207
O147	O340	O301	O319
O150	O347	O349	O330
O152	O353	O370	O350
O157	O426	O487	O399
O158	O478	O490	O534
O164	O516	O507	O572
O168	O586	O525	O587
O175	O664	O563	O59
O178	O730	O624	O600
O187	O806	O657	O645
O196	O835	O659	O743
O210	O868	O671	O851
O222	O885	O696	O852
O238	O889	O737	O869
O239	O933	O803	O922
O245	O95	O886	O963
O250		O893	O991
O253			
O260			
O270			
O290			
O314			
O341			
O356			
O357			
O368			
O371			
O377			
O38			
O397			
O40			
O403			
O413			
O419			
O422			
O45			
O473			
O480			
O497			
O501			
O508			
O515			
O519			
O533			
O535			
O540			
O552			
O553			
O567			
O591			
O610			
O619			
O626			
O633			
O64			
O643			
O661			
O663			
O672			
O673			
O693			
O702			
O709			
O715			
O718			
O723			
O727			
O729			
O744			
O756			
O769			
O771			
O789			
O792			
O797			
O819			
O822			
O847			
O855			
O858			
O859			
O897			
O899			
O903			
O916			
O917			
O924			
O945			
O953			
O956			
O96			
O968			
O974			
O98			
O982			
O984			
O986			
O993			
O998			
