C0 (83 genes)	C1 (13 genes)	C2 (16 genes)	C3 (12 genes)	C4 (11 genes)	C5 (17 genes)	C6 (12 genes)
Objects	Objects	Objects	Objects	Objects	Objects	Objects
O117	O19	O269	O03	O332	O100	O232
O129	O208	O322	O07	O376	O106	O299
O130	O221	O333	O08	O465	O113	O474
O142	O27	O340	O14	O471	O207	O523
O147	O41	O347	O21	O481	O319	O623
O150	O43	O353	O24	O539	O330	O674
O152	O44	O426	O25	O565	O399	O686
O157	O49	O586	O29	O635	O534	O85
O158	O51	O664	O31	O72	O572	O881
O164	O52	O730	O32	O783	O587	O912
O175	O53	O806	O412	O894	O600	O962
O178	O841	O835	O954		O743	O967
O187	O99	O885			O851	
O210		O889			O852	
O222		O933			O869	
O239		O95			O922	
O253					O991	
O260						
O270						
O290						
O314						
O341						
O356						
O357						
O368						
O371						
O377						
O38						
O397						
O403						
O413						
O473						
O480						
O497						
O501						
O515						
O519						
O533						
O535						
O540						
O552						
O553						
O567						
O591						
O610						
O619						
O626						
O633						
O64						
O643						
O661						
O663						
O672						
O693						
O709						
O715						
O718						
O723						
O727						
O729						
O744						
O756						
O769						
O771						
O789						
O792						
O797						
O819						
O822						
O847						
O855						
O858						
O859						
O897						
O903						
O953						
O968						
O974						
O982						
O984						
O986						
O993						
O998						
