C0 (216 objects)	C1 (125 objects)	C2 (199 objects)
854078	856009	850614,852639
855663	856704	856924,851676
854808,855288	855936	850543
852757	853671	855879
850872	850805	853925
853643	855842	851591
853083	853344	851480
852922,851058	850409	853993
852293	855783	854117
855400	856691	855972
855919	850786	854014,852154,852720,852844
851545	854943	855866
853714	854406,855963	852775
850549	853962	852081
851660	855420	853009
852391	854026	853361,853891
854157	850392	854428
855269	854867	850368,855736
854162	855747	855898
851484,851122	854179	855395
852107	855043	850930
851963	855418,854036	855761
850304	856672	852306
853419	851518	853585
851196	852673	852424
851214	850946	855532
851407	851865	850764
851656	852607	852295
851969	852794	853884
856692	853108	852763
853160	855101	854135
853458	855687	854158
853781,856059	854020	852199
850652	856136	852264,853233,854634,855802
851049	856168	851878
854881	856220	856702
855158	854166	854682
855618,854276	853422	854760
855664	854164	853833
855774	855131,853732	851115
854116	853033	855626
854293	850941	855764
856063	854810	854372
853311	856478	856021
856465	853906	851726
853272	854466	850714
856145	854156	856720
852789	855350	853651
850625	854142	851391
852385	855906	852515,852824
854024	853135	852644
855600	851981	854680
854063	854816	856891
851408	856423	856733
852322	850519	852230
852438	856306	852177
851403	856571	854778
855492	853259	852499
851100	853632	852092
855840	852380,852250	855324
855357	855328	856409,850580
855993	850864	851360
852549	853968	855201
853463	850863	855454
851195	852242	855710
853681	851923	854511
851419,851336	852016	855971
852802	853098	851394
855424	853398	851086
855692	853716	851938
854518	853798	851503
856411	850727	851862
851617	855448	854257
855986	856560,855464	853387
856307	855727	856876
856226	855821	851421,851339
856732	856214	852185
856687	853011	852346
851874	854335	852366
850422	853373	851487
855581	855182	851558
856147	853856	851576
851771	850507	852023
856459	852044	852035
851223	855122	856739
851272	851226,854181	853775
852007	856576	852648
852146	851748	852892
856655	850589	856448
852925	850687	854805
851326	853187	853859
854711	852785	854872,855303
853230	852537	855215
853855	850376	850466,851182,855588
853326,853916	856804	854208
850631	855446	855895
850763	850821	856002
850795	855136,853729	855705
856815	856913,851667	853581
855301	851979	856689
855547	853026	852372
855639	856402	854127
854019	856474	853830
851998	853237	856105
854515	853464	852261
856022	853826	852266
856267	850983	852271
856320	851098	852286,851564
851924	851102	852288
854123	855304	852423
854469	855338	852559
855403	855361	850367
855746	856418	851353,850486,855384,853621
855042	851317	851092
854165	854699	854231
851632	854027	855176
855832	856294	852265
853851	854336	851495
853438	854386	853574
855695	854456	853777
855957	855753	855725
850883	850436,855765	854697
850894	854840	852307
851412	850865	851351,853624
854664	855574	851646
853447		853538
853099		855804
854909		855085
850745		855634
852704		851845
850298		851900
854211		850712
851208		851956
852313		856664,853510
850414		856820
850423		852815
851319		852915
851477,855173		852977
853809		853951,855292
851499		853119
851530		853170
850394		853201
851615		856473
851698		856513
851798		854688
855890		853607
851894		853866
851942		850630
852225		850898
852083		850900
852098		850997
856725		854888
856846		855277,854475
852651		855321
855889		855348
852995		855369
856462		855509
856467		855608
856553		856911
856575		855682
854717		851513
854850		853757
853317		851006
853358		856140
853471		851608,851609,851610
853527		851785
853534		853991
853750		856609
853894		854651
850649		851758,850861
850944		855679
850982		855829
851117		854889
851125		855968,854401
854865		856013
854877		855732
855240		852636
855260		854229
855426		854765
855514		850950
855591		855897
851713		856321
855789		850508
850324		851614
856488		852853
853995		851707
853996		855552
854060		854241
856017		850527
853348		852291
854213		853733,855130
855625,854268		851013
854286		853286
854381		855170
854382		855860
854417		851420
854448		850577
854519		852456
855875		852257
855884		
855887		
855894		
853792		
856228		
851369,855512		
853019,856260		
855560,856544		
853587		
850835		
856415,853700		
854814		
853364		
855767		
853305,853931		
855489		
856746		
