C0 (216 objects)	C1 (125 objects)	C2 (199 objects)
2540268	2539952	2542634
2540699	2540738	2542252
2541350	2543358	2543280
2540057	2540405	2541666
2542481	2541794	2543068
2539788	2541780	2541725
2540303	2541881	2541233
2540274	2543107	2539701,2540851
2541116,2542190	2543432	2538892,2542912
2540319	2540746	2539680,2543642
2539918	2539142	2543471
2541165	2539411	2539345
2541634	2540919	2539548,2541130
2540598	2541915	2542501
2541297	2541486	2540192
2542924	2541706,2539870	2541205
2543112	2540853	2540961
2538897	2538748	2542020
2543630	2540279	2539781
2543475	2539379	2543342
2538833	2539161	2543027
2538703	2541468	2538966,2542390
2542112	2539146	2541407
2541630	2540622	2541927
2543241	2540784	2543408
2539045,2541983,2541531	2541551	2539426
2540674	2538985,2542447	2540795,2541678
2543219	2541123	2542467,2541220,2539804
2540076	2540320	2542248
2538768	2539441	5802929
2539889	2540725	2540181
2542038	2541207	2540018
2542298	2542077	2543502
2543155	2540555	2539861
2541610	2539407	2541078
2542351	2539017	2541010
2543371	2539042	2541489
2540270	2540589	2540461,2543017
2541274	2543256	2543527,2538948
2538809	2540254	2538955,2543426
2542314	2542354	2539953
2539062	2543444	2540068
2540871	2543070	2538976
2541544	2542776	2542419
2539832	2539670	2541170
2542898	2538749	2543020
2540472	2540032	2540428
2543416	2541131,2539385	2542855
2539968	2543436	2541849
2540020	2542857	2541117
2540701	2543386	2539207
2541812	2543663	2538881,2542638
2540695	2542872	2541582
2543347,2542907	2542415	2541631
2543492	2542981	2543488
2543414	2543284	2541526
2541000	2542880	2543351
2538694,2539601	2543406	2541726
2541017	2540720	2539926
2543440	2540900	2543490
2543621	2539090	2543305
2541313,2543377	2542138,2541445	2539231
2539887	2540201	2542274
2543455	2542843	2541887
2543662	2539752	2540821
2540711	2542423	2540385
2539308	2542375	2542827,5802969
2540213	2539294	2541216
2540023	2539983	2539580
2541362	2539100	2541632,2539460
2540989	2543111	2541871,2541153
2539950,2539980	2538835	2540525
2539032	2540728	2543002
2540174	2542216	2543645
2541477	2540102	2541727
2539663	2541202	2540072
2542978	2540785	2543460,2540135
2542663	2541605	2540296
2539106	2538767	2539157
2541182	2541194	2543291
2540066	2540493	2539495
2541752	2541767	2541324
2543227	2542687	2542527
2543062	2542284	2539722
2542383	2540442	2541113
2541029	2542439	2541462
2543388	2540790	2541562
2541295,2539466,2541799,2542927	2542107	2540623
2539834	2541319	2542493
2539982	2541828	2539615
2539574	2539673	2541575
2539319	2541485	2542498
2541348	2540830	2539150
2539162	2542152	2541784
2540451	2542976	2541358
2540934,2539551,2540262,2540940,2540286	2540261	2543587
2542462	2539655	2538987
3361398	2539659	2542441
2543484	2541560	2543456
2539238	2542523	2540075
2542965	2542625	2542410
2541762	2541567	2540920,2542989
2541474	2541371	2538877
2539967	2542578	2541147
2538869,2539097,3361387	2543654	2541221
2538979	2539883	2542515
2539987	2542258	2540110
2543417	2543476	2541115
2540514	2540489	2541402
2541587	2543348	2542660
2540324	2541102	2539183
2543591	2539335	2541160
2538946	2539513	2539108
2538830,2543077	2542911,2543419	2540031
2539158	2541948	2540456
2543648	2542283	2543119
2541206	2542013,2541612	2542474
2540788	2541926	2542196
2540567	2539844	2542522
2538796	2540484	2538766
2541680	2542851	2539002
2542139	2542873	2541601
2541087	2539654	2541411
2540053	2540922	2540119
2542212	2542814	2542577
2540305		2543147
2542675		2543379,2541480
2539325		2539381
3361266,2542109		2542773
2541786		2540898
2540544		2542810
2539975		2542922
2541944		2540065
2541434		2542206
2542685		2540642
2541824		2539854
2542369		2539116
2543553		2539093
2542475		2539028
2541779		2543381
2543197		2539672
2540342		2539516
2541521		2539475
2540604		2543605
2539691		3361511
2539255		2543032
2542273		2543632
2540548		2541673
2539901		2542605
2540014		2541593
2540577		2538806
2540396		2543430
2539863		2540240
2539063		2538920
2539082		2540741
2540659		2541302
2543571		2539965
3361429		2542051
2542514		2543064,2542363
2542319		2538917
2538900		2538758
2542470		2539622
2542192		2543110,2543536
2542158		2539171
2540154		2541204
2542868		2541625
2541465		2541244
2542458		2543024,2542289,2541387
2540518		2539217
2540796		2541292
2543397		2539054
2538776		2539614
2541573		2540936,2539864
2539299		2541513
2541166		2541392,2541377,2541401,2541374
2540867		2543283
2541623		2542714
2543184		2543309,2542265
2541493		2542914
2539957		2539027
2542520		2540718
2543193,2540937		2538983
2542777		2539016
2540772		2541934
2543503		2542848,2542661
2542398		2539765
2540011		2539756,2541447
2543319		2542801
2543325,3361570		2543269
2540685		2543267
2542674		2539206
2542285		2541450
2542923		3361378
2542666		2542652
2543393		2541439
2540668		2543214
2543065		2542180
2540873		2543099
2543082		2541917,2542264
2540390		
2541872		
2539172		
2538733,2538958,2539138,2539052		
2541303		
2540199		
2543501		
2542789		
2542939,2541712		
2540717		
2539969		
2542122		
2541318,2541496		
2540389		
2540806		
2539351		
2539738		
