C0 (139 objects)	C1 (30 objects)	C2 (106 objects)	C3 (26 objects)
854078	851548	853925	856924,851676
855663	854157	851480	855879
852757	852773	853993	854419
850872	854501	854117	856201
853083	853311	855972	854026
852922,851058	853272	854014,852154,852720,852844	851865
852293	855998	852775	851647
855400	856203	853361,853891	855350
851660	853125	855898	852230
852391	853463	855395	855971
855269	853122	855761	850864
854162	855692	852306	852559
851484,851122	853844	855532	851861
852107	850522	852295	856820
851963	856674	853884	853081
850304	853630	852763	854688
853419	855276	852264,853233,854634,855802	850633
851196	855782	851878	850997
851407	854334	854682	855117
851656	856134	853833	855321
851969	854909	851115	851317
856692	852564	855626	856294
853160	851698	855764	854292
853458	851798	854372	855521
851049	853534	856021	853147
855158	852317	856720	852456
855618,854276	851752	853651	
855664	853348	851391	
855774	855887	852515,852824	
856063	854447	854680	
856465		856891	
856145		854778	
852789		852499	
850625		852092	
855600		855201	
851408		851086	
852322		851938	
852438		851503	
851403		854257	
855492		856876	
851100		851421,851339	
855357		852346	
855993		852366	
852549		851487	
851195		851558	
851419,851336		852023	
852802		856739	
855424		853775	
854518		852648	
856411		856448	
856226		854872,855303	
856687		855215	
851874		850466,851182,855588	
850422		855895	
855581		855705	
856147		854127	
851771		852266	
856459		852286,851564	
852146		852423	
851326		850367	
854711		851092	
853855		853574	
853326,853916		854697	
850631		851351,853624	
856815		851646	
855301		853538	
855639		855804	
854515		855085	
856320		850712	
854469		851956	
855403		856664,853510	
855746		852977	
855042		853951,855292	
854165		853170	
851632		856513	
853438		850630	
855695		850898	
850894		854888	
850745		855348	
852704		855509	
850298		855608	
854211		856911	
851208		855682	
852313		853757	
850414		851006	
850423		856140	
851319		851785	
851477,855173		856609	
851499		854651	
851530		855829	
850394		854889	
851894		856013	
851942		855732	
852225		852636	
856725		854229	
856846		854765	
852651		850950	
855889		855897	
852995		852853	
856462		851707	
856553		855552	
856575		854241	
854717		852291	
853317		853733,855130	
853358		851420	
853471		850577	
853527			
853750			
853894			
850649			
850944			
850982			
851125			
854865			
854877			
855260			
855426			
855514			
855591			
851713			
856488			
854060			
856017			
854286			
854417			
854448			
854519			
855875			
855884			
855894			
853792			
856228			
851369,855512			
855560,856544			
850835			
856415,853700			
853364			
855489			
856746			
