C0 (139 objects)	C1 (30 objects)	C2 (106 objects)	C3 (26 objects)
2540268	2540479	2543068	2542252
2540699	2543112	2541233	2541666
2540057	2543087	2539701,2540851	5802702
2542481	2543410	2538892,2542912	2542339
2540303	2541544	2539680,2543642	2541706,2539870
2540274	2542898	2543471	2538985,2542447
2541116,2542190	3361514	2539548,2541130	2540680
2540319	2539290	2541205	2541131,2539385
2541297	2542778	2539781	2543488
2542924	2543455	2543342	2542827,5802969
2538897	2540968	2538966,2542390	2542138,2541445
2543630	2541362	2541407	2539183
2543475	2538942	2539426	2543249
2538833	2543647	2542467,2541220,2539804	2540642
2538703	2540481	2542248	2541577
2542112	2541311	5802929	3361511
2541630	2543133	2539861	2540026
2543241	2541708	2541078	2538806
2540674	2542890	2541489	2542795
2543219	2541858	2543527,2538948	2538920
2540076	2539325	2538955,2543426	2542911,2543419
2538768	2542340	2539953	2542013,2541612
2539889	2540604	2540068	2541024
2542038	2539691	2538976	2542742
2541610	2541465	2542419	2542919
2543371	2540017	2540428	2543099
2540270	2539479	2542855	
2541274	2540685	2541849	
2538809	2541872	2541117	
2540871	2540897,2539445,2542991	2538881,2542638	
2539832		2541582	
2540472		2543351	
2543416		2541726	
2539968		2539926	
2541812		2542274	
2543347,2542907		2539580	
2543492		2541632,2539460	
2543414		2541871,2541153	
2541000		2543002	
2538694,2539601		2541727	
2541017		2540072	
2543621		2540296	
2541313,2543377		2539157	
2539887		2543291	
2543662		2539495	
2539308		2542527	
2540213		2541113	
2540023		2541462	
2540989		2541562	
2539950,2539980		2542493	
2539663		2542498	
2542663		2539150	
2539106		2541784	
2541182		2543587	
2540066		2542441	
2541752		2540920,2542989	
2543227		2542515	
2543062		2541115	
2541295,2539466,2541799,2542927		2542660	
2539574		2541160	
2539319		2540031	
2539162		2542522	
2540451		2541601	
2540934,2539551,2540262,2540940,2540286		2540119	
2543484		2542577	
2539238		2543147	
2541762		2543379,2541480	
2538869,2539097,3361387		2539381	
2543417		2542922	
2540324		2540065	
2543591		2542206	
2538946		2539093	
2538830,2543077		2539028	
2539158		2539672	
2543648		2543605	
2540567		2541673	
2538796		2542605	
2541087		2543430	
3361266,2542109		2540741	
2541786		2539965	
2540544		2542051	
2539975		2543064,2542363	
2541944		2538917	
2541434		2539622	
2542685		2543110,2543536	
2541824		2539171	
2542369		2541625	
2543553		2543024,2542289,2541387	
2541779		2539217	
2543197		2539614	
2540342		2540936,2539864	
2542273		2541392,2541377,2541401,2541374	
2540548		2543283	
2539901		2542714	
2540396		2543309,2542265	
2539863		2542914	
2539063		2539027	
2539082		2540718	
2540659		2542848,2542661	
2543571		2539765	
2542514		2539756,2541447	
2542319		2542801	
2538900		2543267	
2542192		2539206	
2542158		2543214	
2540154		2542180	
2542868			
2542458			
2540518			
2540796			
2543397			
2538776			
2539299			
2541166			
2540867			
2543184			
2541493			
2539957			
2542520			
2543193,2540937			
2543503			
2543319			
2543325,3361570			
2542923			
2540668			
2543065			
2540873			
2543082			
2540390			
2539172			
2538733,2538958,2539138,2539052			
2541303			
2540199			
2542789			
2540717			
2539969			
2541318,2541496			
2539351			
2539738			
