GeneID	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3	C_rep1	C_rep2	C_rep3	D_rep1	D_rep2	D_rep3	E_rep1	E_rep2	E_rep3	F_rep1	F_rep2	F_rep3
2538689	12.5669	12.3479	12.3034	12.1145	11.9081	11.109	12.7807	12.6078	11.4883	11.8011	11.6828	12.4404	12.0744	11.3912	10.9201	11.5879	11.7067	12.087
2538690	9.84431	9.58469	9.61262	10.0247	10.1729	6.36244	9.98851	9.40488	5.54878	7.68367	8.45399	9.4549	9.9259	9.33502	9.29089	9.6943	9.21066	10.0899
2538691	8.50423	8.23348	8.38314	7.88502	7.75826	4.24856	8.67795	8.23373	5.32648	6.28027	7.37942	8.37009	7.64774	6.66897	6.32063	8.09273	7.7351	7.91801
2538692	7.0044	6.5897	6.67703	7.56919	7.74226	6.70541	6.73067	6.79148	5.68154	5.26371	5.00849	6.47235	7.39196	6.94114	6.89953	7.0044	7.25137	7.72627
2538692	6.13027	5.95518	6.07663	4.97351	5.37749	3.93532	4.76967	6.30722	3.23359	2.79579	4.03675	4.07923	5.73763	5.33196	5.21783	4.97351	6.73589	5.84922
2538692	5.95706	5.17705	5.06953	5.95706	4.93618	4.27495	5.95706	6.54566	4.53346	3.87032	4.40325	4.39226	5.60271	5.21811	5.38121	5.70322	6.87589	5.86419
2538692	7.92666	7.79618	7.72997	8.1391	8.99272	6.19665	7.13616	7.4406	5.52619	5.7121	5.64082	7.41993	8.70963	7.45502	7.52381	7.67774	8.51216	8.69303
2538693	8.96796	8.5627	8.78729	8.54074	8.52763	6.47339	9.07643	8.97429	7.32389	7.63527	7.70703	8.40631	8.54231	8.35986	8.20223	8.79867	8.60915	8.70713
2538694	7.73856	7.31337	7.36606	6.74567	6.18378	5.13922	7.3484	6.99958	4.55484	6.42726	6.56485	7.17442	6.20032	6.24292	5.55457	7.40656	6.94141	6.32873
2538695	10.5555	10.2986	10.3037	10.4831	10.33	8.42194	10.5492	10.662	9.13664	10.2193	9.88756	10.2826	10.2071	9.87263	9.74883	10.4489	10.5914	10.1255
2538696	11.4129	11.0898	11.1978	12.2667	12.0868	10.2433	11.5431	11.438	9.99393	10.3318	10.6146	11.1506	11.9575	11.6734	11.4778	11.8071	11.8642	12.0579
2538697	9.79503	10.0056	10.0093	9.02839	9.16639	6.58498	9.93515	9.85319	8.91661	9.36139	9.29924	9.9862	9.08142	8.28377	8.46385	9.5671	9.37269	9.13918
2538698	9.52339	8.89372	8.93843	9.21147	8.9552	6.38503	9.74527	9.31519	6.49714	7.74821	8.04172	8.78829	8.77708	8.25077	8.309	9.06074	8.79998	8.94455
2538699	12.0589	11.7523	11.7371	11.7836	11.0451	9.8553	11.9362	11.7423	10.7593	11.1905	11.0017	11.6783	11.4812	10.7656	10.8845	12.0777	11.8275	11.5625
2538700	11.3445	11.2092	11.1767	11.3254	11.1382	9.42445	11.2366	11.054	9.14692	9.87169	10.0798	11.1838	11.1302	10.2496	10.4971	11.3723	11.0043	11.0829
2538701	10.159	10.1271	10.1122	10.0741	10.1347	6.92837	9.93387	9.98728	6.75506	8.69307	9.21723	10.0442	10.1629	9.7224	9.34722	10.2879	10.1276	10.1773
2538703	11.8301	11.1029	11.1208	10.7744	10.4198	9.31703	12.1541	11.3596	10.1688	10.6205	10.9005	11.2803	10.1435	9.80644	9.56854	10.5447	9.93755	10.1793
2538704	5.58229	5.45282	5.59248	5.87121	6.07334	4.08067	5.66238	6.29328	4.40132	4.74191	4.64157	4.88	7.14708	5.18371	4.94937	5.73168	6.09363	6.03742
2538705	10.664	10.3412	10.3969	10.9605	10.2406	9.8141	11.0773	10.792	9.34533	9.5558	9.56646	10.4175	10.1777	9.04651	9.54607	10.267	10.0589	10.0908
2538706	9.56235	9.45899	9.4535	10.0234	10.044	9.20263	9.57134	9.31912	7.8255	8.94435	9.04729	9.50542	9.86939	9.43854	9.56619	10.1874	10.1442	9.99963
2538707	10.9605	10.8031	10.7519	11.1796	10.7276	9.04637	10.5118	10.6559	9.93226	10.6373	10.014	10.7013	10.7765	10.2356	10.3392	11.6402	11.1852	10.8482
2538708	9.915	9.16349	9.19662	10.6011	9.51118	8.22829	10.0761	9.46034	7.54208	8.47309	8.35961	9.26725	9.72614	9.33048	9.73874	10.4591	10.1312	9.63469
2538709	10.1811	9.80699	9.99583	11.2301	10.9254	9.85622	10.5188	10.2841	8.28769	8.80886	8.83706	9.93254	11.1302	10.4158	10.439	10.4295	10.8402	11.0728
2538710	9.89256	9.49375	9.49258	9.72735	9.49046	8.19987	10.0474	9.73536	7.8625	8.7215	8.83164	9.41881	9.4149	8.42864	8.73711	9.66364	9.26905	9.44608
2538711	9.97633	9.04947	9.09037	9.19503	8.44847	6.52157	10.0232	9.88175	8.11168	8.60995	8.66367	9.18425	8.31381	7.9157	7.81858	9.66425	9.36909	8.4656
2538712	11.6756	11.4281	11.381	11.2845	11.1335	9.57652	11.7301	11.4201	10.6008	11.1051	10.8824	11.4489	10.9283	10.1679	10.0366	10.9065	10.7378	11.0487
2538713	10.5262	10.1484	10.1275	8.83923	8.23172	7.07332	10.6526	10.3117	8.73623	9.62402	9.76585	10.2424	8.44196	7.6606	7.93911	8.86639	9.05111	8.70378
2538714	9.15909	9.04437	9.11808	10.9553	10.3914	7.91927	9.09724	8.92496	4.49909	5.93482	7.39246	8.97503	10.3508	9.50474	9.17231	9.67388	9.38305	10.2662
2538715	14.0773	13.5878	13.589	13.6417	13.0257	12.528	14.0954	13.7542	13.1041	13.3695	13.3537	13.6002	12.9808	12.825	12.3466	13.4453	13.3209	12.9743
2538715	13.8644	13.5481	13.5311	13.3661	12.9793	12.215	13.8444	13.6048	12.8115	13.0511	13.0828	13.5348	12.8849	12.4617	12.0358	13.1334	13.1782	12.8409
2538716	5.24277	4.79732	4.69883	5.86244	5.29333	3.77847	4.92074	5.25909	4.32728	4.12942	4.07804	4.27943	5.66643	4.75409	4.55157	5.53225	5.86012	5.92758
2538717	12.1885	11.6624	11.5942	10.6026	9.88678	3.33701	12.3826	12.2267	9.92538	10.6351	10.5373	11.5182	10.1262	9.09658	8.70456	11.4173	11.1628	9.99137
2538718	10.5441	10.2752	10.4282	9.02059	9.00071	5.24978	11.0849	10.6488	9.58741	9.92042	9.67949	10.4049	9.19672	7.94189	7.85215	9.68849	9.63447	9.0749
2538719	8.40817	7.75031	7.61489	8.18956	7.70814	4.22214	8.66004	7.9902	3.84979	6.34582	6.68455	7.8457	7.65578	6.98112	6.93643	8.23243	7.78629	7.72213
2538720	12.4053	11.9052	11.8318	12.4053	11.6095	10.3382	12.4034	12.0145	11.1326	11.5614	11.3337	11.7934	11.5798	11.1656	11.2226	12.5992	11.9315	11.6179
2538721	9.5247	9.19891	9.10839	10.2383	9.65714	6.42159	9.72692	9.41351	7.75639	8.46011	8.24946	9.19314	9.87351	9.1608	9.12887	9.792	9.52642	9.95893
2538722	6.3594	6.30429	6.16187	6.21349	5.91377	5.72082	6.05977	6.10573	4.75741	4.64625	4.87416	5.56592	5.71985	5.06709	4.8189	6.21349	5.94843	5.98675
2538723	10.9351	10.5533	10.6165	10.8583	10.9641	8.67323	11.0683	10.6098	7.99883	9.33677	9.51267	10.7432	10.4838	9.49506	9.36606	10.0014	9.90779	10.7098
2538724	8.27665	7.68521	7.61577	9.19674	10.7953	4.79743	8.20218	7.57022	7.07448	6.60468	6.95213	7.69977	10.783	9.31943	7.41065	8.79985	8.73728	10.9573
2538725	11.3165	10.8643	10.8837	11.2711	10.7085	9.45782	11.4341	10.9671	9.66531	9.84418	10.1655	10.7992	10.5679	9.90596	9.96482	11.3296	10.8852	10.6095
2538726	13.3725	13.0935	13.0599	12.0636	11.7404	10.2688	13.5085	13.4064	12.2951	12.5141	12.474	13.0733	11.8336	10.9894	10.7148	12.5998	12.6053	11.7523
2538727	7.19655	7.28976	7.20123	6.24627	6.71519	4.1116	6.76149	6.4862	4.04313	6.59895	6.01877	7.04407	6.94375	6.44576	5.68551	7.90179	7.75051	6.79225
2538728	10.3959	9.92464	10.0244	10.1474	10.0186	8.28624	10.2711	9.97384	6.83166	8.35504	8.91634	9.93855	9.83653	9.02847	9.13242	10.1997	10.1181	9.93507
2538729	14.3402	13.791	13.8006	14.2311	13.7266	12.917	14.306	13.9463	13.4539	13.6586	13.6831	13.7634	13.7899	13.5558	13.5142	14.5618	14.1111	13.727
2538730	7.82217	7.78812	7.82805	6.16417	6.78673	4.42402	7.87873	7.5098	4.55674	5.70484	6.04176	7.54192	6.31978	5.91085	5.26885	6.83683	6.78112	6.76192
2538731	8.68048	8.75882	8.80147	9.73471	9.46548	7.05828	9.14224	8.55364	4.94278	7.60725	7.35779	9.13877	9.37148	7.95718	7.97581	10.1562	10.13	10.2943
2538732	7.60835	7.53456	7.72268	9.54678	6.99556	10.5986	6.90101	6.55513	4.82997	5.57752	5.61141	7.33558	8.42918	6.84857	9.68413	12.3418	11.5905	7.81904
2538733	8.97588	8.21488	10.3406	8.1888	8.00604	3.69459	10.3746	9.21924	8.22781	7.82584	8.1556	8.8756	8.90278	8.14047	6.89587	9.09147	9.96512	8.25006
2538734	12.1225	11.7816	11.7211	11.5636	11.3602	10.1164	12.2601	11.9797	10.9747	11.2833	11.2451	11.7998	11.2742	10.6361	10.3799	11.6754	11.1771	11.3086
2538735	10.2238	9.87598	9.88825	10.4546	10.0522	9.21242	10.1355	10.1056	8.90251	9.04241	9.0733	9.62602	10.2195	9.27352	9.60226	10.2765	10.1915	10.044
2538736	9.83458	9.49721	9.36233	9.70881	9.22502	6.49509	9.63655	9.55149	7.37165	7.85042	8.30272	9.45927	9.36903	8.64121	8.16912	9.43613	9.31792	9.39254
2538738	10.4058	9.8108	9.69808	10.1081	9.53377	9.0649	10.1875	9.897	9.37493	9.77701	9.14968	9.59134	9.46339	9.09026	9.5628	10.1451	9.73933	9.61891
2538739	10.4382	9.9487	9.92836	11.4156	11.0887	10.2888	9.98192	10.1296	9.10639	9.81938	9.35891	9.84451	11.0004	10.8108	10.6082	10.8261	10.3494	10.9227
2538740	12.3716	12.0832	12.0749	13.3621	12.676	10.7985	12.2877	12.0262	10.7026	10.9727	11.2859	12.0213	12.8446	12.3547	12.6224	13.1325	12.7079	12.6239
2538741	9.90435	9.62214	9.60355	9.33047	9.18542	6.95848	10.1738	9.89183	8.30324	8.57709	8.85237	9.62309	9.17547	8.43175	8.2536	9.82195	9.36981	9.37229
2538742	8.63049	8.2098	8.40865	9.10719	8.97685	6.48619	9.04626	8.65414	9.35114	8.02147	7.62946	8.25449	8.72646	8.3071	8.40527	8.84196	8.76571	8.82659
2538743	13.2238	12.547	12.5486	12.8504	12.1893	10.5627	13.1887	12.8581	11.4862	12.0136	11.8933	12.4919	12.387	11.626	11.9622	13.3481	12.9662	12.4391
2538744	9.09033	8.67137	8.64428	9.1551	8.94237	5.21596	9.14791	8.94959	6.60899	7.25663	7.64947	8.57478	8.90624	8.0218	7.65152	9.1551	8.92839	8.90818
2538746	11.0921	11.0188	10.9816	11.4625	10.8095	8.99595	10.9939	11.0336	9.56454	10.284	10.0836	10.8746	11.1467	10.4992	10.5942	11.0715	11.052	11.0429
2538747	10.8246	10.5997	10.5236	10.4712	10.3304	8.30616	10.8267	10.6432	8.10228	9.19967	9.72472	10.6355	10.2391	9.40475	9.3838	10.7193	10.7739	10.355
2538748	9.59363	9.48538	9.50632	10.1206	10.1469	6.98785	9.78118	9.27921	6.44881	7.72015	8.42861	9.39891	9.80913	8.92474	8.79838	10.0328	9.45204	9.95132
2538749	10.8292	10.8991	10.9092	11.1696	10.9443	9.10359	10.9326	10.6775	9.27304	9.5381	9.88637	10.8625	11.019	10.2025	10.0985	10.7538	10.5632	10.9992
2538750	8.90301	8.38463	8.40635	9.12182	9.16792	8.13384	8.55041	8.69659	6.01342	7.80399	7.60805	8.16504	8.89444	8.75493	8.4543	8.27176	8.42219	8.83151
