C0 (105 objects)	C1 (15 objects)	C2 (31 objects)	C3 (46 objects)	C4 (26 objects)
854078	854157	854088	856704	851822
850872	852773	855761	853993	854026
853083	856465	854385	854117	856163
852922,851058	853272	852432	855972	855477
852293	855998	855302	852775	852916
855400	856203	855104	854943	851865
851660	853125	854680	855420	852451
852391	853463	856529	852295	854185
855269	853844	852903	850456	851565
854162	856674	853985	853833	852811
851484,851122	850423	852287	851115	856106
852107	851942	851763	853052	853521
850304	853109	856767	853033	852620
853419	852317	852973	850941	855971
851407	853348	856404	853497	850981
851656		856130	854999	850864
851969		852501	850637	854330
856692		852832	854816	853949
853160		854997	856571	851027
853458		852459	851503	850452
851049		852469	852380,852250	850709
855158		851334	853968	851317
855618,854276		856398	853398	856294
855664		853142	854903	855021
856063		855159	856560,855464	853305,853931
856145		855536	851748	855876
852789		855665	852169	
850625		854023	850687	
855600		856197	854127	
851408		856438	850376	
852438		851898	850821	
851403			855804	
855492			856913,851667	
855357			856658	
852549			856601	
851195			851098	
851419,851336			856911	
852802			851006	
854518			856609	
856411			854699	
856226			854889	
856687			856013	
851874			854229	
850422			852853	
855581			855552	
852146			850436,855765	
854711				
853855				
850631				
856815				
854515				
856320				
855403				
855746				
855042				
854165				
851632				
853438				
850894				
850745				
852704				
850298				
854211				
851208				
852313				
850414				
851319				
851499				
851530				
852225				
856846				
852651				
855889				
852995				
856462				
856553				
856575				
854717				
853317				
853358				
853894				
850649				
850944				
850982				
854865				
854877				
855426				
855514				
855591				
851713				
856488				
854060				
856017				
854286				
854417				
854519				
855875				
855884				
855894				
853792				
856228				
851369,855512				
855560,856544				
853364				
856746				
