C0 (105 objects)	C1 (15 objects)	C2 (31 objects)	C3 (46 objects)	C4 (26 objects)
2540268	2543112	2542607	2540738	2539192
2542481	2543087	2538966,2542390	2539701,2540851	2541706,2539870
2540303	2539832	2542233	2538892,2542912	2539835
2540274	2542898	2540027	2539680,2543642	2540672
2541116,2542190	3361514	2540521	2539548,2541130	2543175
2540319	2539290	2542327	2539411	2538985,2542447
2541297	2542778	2538881,2542638	2541486	2541910
2542924	2543455	2542512	2542467,2541220,2539804	2539489
2538897	2538942	2540982	2539729	2540142
2543630	2540481	2539773	2543527,2538948	2539530
2543475	2541824	2543620	2538955,2543426	2542502
2538833	2540548	2543429	2541180	2541086
2542112	2543451	2541026	2542354	2539075
2541630	2540017	2542959	2543444	2542827,5802969
2540674	2540685	2542765	2540750	2542480
2543219		2539164	2541916	2542138,2541445
2540076		2540630	2539923	2539607
2538768		2542730	2542872	2542455
2539889		2541782	2542880	2541987
2542038		2541329	2541871,2541153	3361316
2541610		2541043	2540900	2543459
2543371		2540399	2540201	2542911,2543419
2540270		2542599	2539983	2542013,2541612
2541274		2543245	2542267	2541231
2540871		2540429	2542216	2540806
2540472		2541549	2542107	2541002
2543416		2541031	2539649	
2539968		2541837	2541828	
2541812		2539369	2540920,2542989	
2543347,2542907		2541038	2542152	
2543414		2541395	2539655	
2541000			2543379,2541480	
2538694,2539601			2541560	
2543621			2540093	
2539887			2543420	
2543662			2543476	
2539308			2543064,2542363	
2540213			2543110,2543536	
2540989			2543024,2542289,2541387	
2539950,2539980			2541948	
2539663			2540936,2539864	
2542663			2541392,2541377,2541401,2541374	
2539106			2543309,2542265	
2541182			2542848,2542661	
2540066			2539756,2541447	
2541295,2539466,2541799,2542927			2542873	
2539319				
2539162				
2540934,2539551,2540262,2540940,2540286				
2543484				
2538869,2539097,3361387				
2543417				
2543591				
2538946				
2538830,2543077				
2539158				
2543648				
2540567				
2541087				
3361266,2542109				
2541786				
2540544				
2539975				
2541944				
2541434				
2542685				
2542369				
2541779				
2543197				
2539901				
2539863				
2539063				
2539082				
2540659				
2543571				
2542514				
2542319				
2538900				
2542192				
2542158				
2540518				
2540796				
2543397				
2538776				
2541166				
2540867				
2541493				
2539957				
2542520				
2543193,2540937				
2543503				
2543319				
2543325,3361570				
2542923				
2540668				
2540873				
2543082				
2540390				
2539172				
2538733,2538958,2539138,2539052				
2541303				
2540199				
2542789				
2541318,2541496				
2539738				
