GeneID	time0_rep1	time0_rep2	time1_rep1	time1_rep2	time2_rep1	time2_rep2	time3_rep1	time3_rep2	time4_rep1	time4_rep2	time5_rep1	time5_rep2
853878	1094.389	1074.9486	1050.6215	986.9515	1093.8381	1077.4663	1134.5354	1045.1909	1086.1489	1142.4438	1071.8193	1093.7588
851398	10458.365	10902.686	9403.866	10144.719	8399.2705	8634.972	9371.922	10019.704	10382.046	9773.774	9250.783	9591.865
852821	1594.5514	1439.3329	1099.2849	1061.5303	1201.8514	1122.8367	1058.4597	936.59753	965.8327	1092.4407	905.89703	922.6456
852092	2159.2175	2038.8302	1967.1799	2018.8231	2262.8892	2284.0818	1857.7662	1887.8282	2034.2117	2186.1182	2048.2432	2101.0686
854649	5576.9224	5414.739	5475.098	5373.5747	5029.9663	4917.5537	5649.5537	5213.4653	5897.194	5941.621	5287.5312	5431.91
856111	1235.736	1317.3988	1059.2595	1061.7788	1010.2398	1045.0782	896.71704	910.9156	912.60596	945.3019	865.2196	898.753
853857	1750.4338	1760.3208	1954.7587	2006.690	1589.109	1538.9017	2317.7874	2428.7236	2213.6716	2304.231	2171.6506	2075.741
851310	788.8920	782.4446	676.7898	606.1783	660.67706	692.99664	631.27136	639.8612	588.02026	618.7976	557.5175	553.9375
855396	1411.6545	1587.7941	1563.1284	1562.2849	1613.1382	1712.7607	1834.9725	2029.9695	1879.1506	1829.3027	1955.1091	1833.1255
856382	2452.4844	2416.9512	2470.3809	2423.615	2428.505	2424.6611	2507.6904	2418.3013	2357.2021	2363.2751	2930.0093	2821.9578
853720	3897.8184	4076.7407	4859.326	4869.560	5160.9097	5201.0005	4628.275	4598.0596	4643.8823	4650.907	4217.8555	4573.224
855597	811.57166	953.17584	1093.1686	1106.3087	955.63153	1043.3485	1005.4513	1061.5298	840.8579	903.56824	995.7999	1062.0463
853810	139.72142	128.44995	149.5592	130.06885	118.44519	116.515045	151.8672	149.65337	150.15788	163.5490	158.42735	156.65825
854973	1474.0383	1372.7734	1341.490	1263.4382	1327.2743	1352.2035	1492.6433	1426.876	1532.1874	1555.4686	1527.3978	1718.938
854646	213.77457	186.97273	123.12217	113.022804	167.37183	139.27953	600.1105	572.9061	907.95337	986.5252	796.4663	777.7699
850739	5436.896	5549.9854	5719.104	5717.043	5582.036	5818.7646	4864.3013	5007.4805	3891.4336	3854.0793	4633.7734	4567.7017
854202	1774.8895	1765.2389	1645.8921	1635.9706	1731.3867	1791.2223	1852.1603	1801.8912	1878.2396	1836.3617	1793.028	1690.0747
854154	828.30334	856.46655	909.9814	890.2208	1008.913	1050.1676	878.0339	852.1623	763.4036	833.0716	853.3586	872.01886
851512	2433.798	2213.830	1860.4098	1756.6498	2395.9478	2478.2136	1764.983	1743.8315	1514.9689	1514.1239	2470.912	2368.8936
855641	644.42535	701.7314	682.4161	663.4413	688.7818	622.8758	761.0861	765.59155	769.08514	855.5889	847.0246	848.4434
850442	736.1387	717.69525	798.1167	739.2186	782.4450	736.9869	944.4170	940.2624	1024.7968	975.5620	979.15	1025.8303
851396	351.58972	357.3564	437.41318	384.1110	488.57687	470.22064	442.6630	402.27814	401.23712	467.42804	478.59537	495.8938
855949	11212.091	11236.722	11874.989	11463.439	12519.27	12571.648	11099.658	10958.945	11724.861	11646.429	12169.635	12181.908
851583	660.4033	669.25653	678.5703	655.60754	503.27396	513.7329	670.7517	653.54596	577.1795	663.71564	678.6069	709.2848
854465	1790.4486	1688.5538	1937.6672	1731.3867	2385.7092	2293.846	1809.6251	1781.3538	1577.8534	1625.5243	1970.6171	1819.2894
853183	8909.160	8915.577	8488.461	8641.356	8641.356	8483.573	7309.1626	7254.648	7372.5684	7531.341	7194.0674	7369.384
855505	1225.4601	1225.3724	1329.6877	1319.5565	1298.8248	1414.985	1010.67535	1024.9438	929.6785	942.97253	1088.9856	1082.5182
850508	617.63025	688.62085	733.4023	695.0451	856.5899	850.0633	706.3427	697.96576	565.8874	606.3749	768.29706	766.72266
856681	5108.8745	5203.6104	5491.466	5508.397	6416.4033	6683.5815	5189.120	5487.7173	5612.457	5281.826	6152.5903	6087.177
852540	245.4631	216.18497	292.70908	275.42603	273.78036	245.20726	308.85724	288.3595	258.73447	272.52682	327.28867	354.4676
850499	20081.832	20298.389	19270.746	19592.09	18681.055	18960.115	15463.524	15235.36	13527.214	13492.697	13506.782	13057.009
856712	1157.4473	1206.4893	1255.2809	1303.6031	1147.0378	1139.1388	1268.4286	1233.3147	1229.7689	1220.7726	1192.0944	1219.345
851532	4910.037	4877.9824	5650.5664	5329.378	5188.5557	5003.156	5950.5015	5717.6646	5659.109	5998.8765	5788.473	6048.314
851117	566.78394	563.88446	703.56415	681.23785	689.7994	636.56476	886.8957	873.1656	744.1969	776.42816	1066.1063	1107.246
852058	15545.841	16164.346	14912.269	16691.713	15309.555	15567.382	14612.91	15768.14	16785.674	14071.712	13669.633	13630.346
856748	11380.198	11693.885	11317.101	11586.849	10843.394	11298.38	9192.213	9532.336	10262.442	9847.407	9974.038	9648.49
850994	16978.873	18113.95	16800.76	17903.941	17078.781	17777.457	15994.746	16884.445	19413.463	16488.662	16086.562	16287.52
853639	6972.1704	6802.3774	7116.929	7041.7666	6967.398	7238.870	7699.067	7580.4272	9022.745	8801.269	8012.592	8135.357
851722	572.3390	548.0972	685.3817	627.5223	700.7343	697.62573	680.5028	726.8446	592.3327	634.09515	619.82294	590.6613
852446	5840.0625	5654.227	6665.809	6821.0083	6109.568	5739.101	9108.883	9030.544	9564.471	9943.21	8846.222	8968.355
855289	4442.4614	4350.691	3982.6147	3880.1829	3804.676	3751.1023	3856.234	3836.5796	3850.1338	4160.939	3621.6223	3644.7712
855099	1287.9335	1233.1377	1489.157	1334.5789	1560.4028	1543.8673	1457.5269	1418.5046	1191.9437	1266.3527	1529.7083	1623.1271
852947	1593.9204	1505.2946	1463.2816	1490.818	1424.2854	1500.2649	1342.6732	1318.5608	1357.5419	1387.7008	1310.2825	1420.727
856108	725.51215	667.2363	691.72595	671.95984	705.69464	707.7294	382.35214	352.13416	517.8545	574.3303	429.3875	393.9325
854346	3216.7908	3282.7585	3380.962	3466.7847	3057.3472	3016.902	2684.883	2772.5762	2702.8174	2432.9197	2362.1675	2332.431
851387	1111.2574	1058.9353	1175.5623	1100.5117	840.3144	832.87695	1610.8169	1501.2632	1580.553	1588.5363	1720.7947	1841.3236
852076	480.667	460.2497	595.3246	587.99896	423.51694	401.5767	1081.41	1104.4597	1022.9907	1010.6214	1111.9581	974.5791
853229	455.57748	422.06378	587.16406	508.3992	678.74115	674.62585	620.8061	579.37555	540.39905	575.4894	540.49646	572.6797
852106	1186.7863	1259.6713	1164.4879	1106.3098	987.52014	1051.7196	1217.4597	1177.9347	1308.4214	1358.5688	1059.9663	1188.8383
852112	221.4773	208.82039	229.11502	208.5199	193.41022	212.11935	224.28897	220.35625	188.46936	207.487	197.51137	207.71864
856376	358.53513	347.42	347.0885	303.09216	339.50247	339.11807	354.6272	313.19492	379.47363	385.63458	346.00366	379.453
