C0 (39 objects)	C1 (18 objects)	C2 (45 objects)
853993	854117	852293
852775	855972	851660
854943	852922,851058	855269
855420	853964	851484,851122
855418,854036	855761	855664
852295	853595	856063
850456	852432	856465
853833	856070	850625
851115	856529	855600
853052	852287	855993
853033	851763	851195
853497	852973	851419,851336
854680	854997	854518
854999	851334	856411
850637	853142	856226
854816	853470	856687
851938	855536	852146
851503	854889	854711
853968		853855
853398		850631
854903		854515
856560,855464		856320
851748		854165
852169		853438
850687		850745
854127		850414
850821		850423
855804		851319
856601		851499
851098		851530
856911		856846
851006		856553
856609		854717
854699		853317
856013		853358
854229		850982
852853		855591
855552		851713
850436,855765		856017
		855875
		853792
		851369,855512
		855560,856544
		853364
		856746
