Objects	t0	t1	t2	t3
O01	-0.83	-0.83	0.49	1.17
O02	0.66	-0.25	-1.3	0.9
O03	-0.13	0.92	0.56	-1.35
O04	-1.39	0.69	0.76	-0.07
O05	-0.07	0.97	0.46	-1.36
O06	0.36	0.79	0.31	-1.46
O07	0.05	0.66	0.72	-1.43
O08	0.06	0.65	0.72	-1.43
O09	-0.24	0.91	0.63	-1.31
O10	-0.25	0.86	0.7	-1.31
O100	0.0	0.0	0.0	0.0
O1000	0.62	0.37	-1.49	0.5
O101	0.0	0.0	0.0	0.0
O102	-0.5	-0.5	-0.5	1.5
O103	0.33	-1.48	0.75	0.4
O104	0.0	0.0	0.0	0.0
O105	0.0	0.0	0.0	0.0
O106	0.0	0.0	0.0	0.0
O107	-0.5	-0.5	-0.5	1.5
O108	1.16	0.37	-0.34	-1.18
O109	0.0	0.0	0.0	0.0
O11	-0.48	0.66	0.98	-1.17
O110	0.02	1.07	0.26	-1.34
O111	0.0	0.0	0.0	0.0
O112	0.0	0.0	0.0	0.0
O113	0.0	0.0	0.0	0.0
O114	1.44	-0.42	-0.85	-0.18
O115	0.0	0.0	0.0	0.0
O116	0.68	1.03	-0.86	-0.86
O117	1.1	0.6	-0.85	-0.85
O118	0.02	0.96	0.41	-1.38
O119	0.47	0.7	-1.48	0.3
O12	0.23	0.76	0.47	-1.46
O120	0.58	-1.49	0.31	0.6
O121	-0.86	-0.86	0.7	1.02
O122	0.89	-0.87	-0.87	0.84
O123	0.0	0.0	0.0	0.0
O124	0.0	0.89	0.51	-1.4
O125	0.37	-0.42	-1.13	1.19
O126	0.0	0.0	0.0	0.0
O127	0.0	0.0	0.0	0.0
O128	0.77	0.6	0.06	-1.43
O129	1.06	0.64	-0.85	-0.85
O13	0.26	0.78	0.43	-1.47
O130	1.08	0.62	-0.85	-0.85
O131	0.68	0.6	0.19	-1.47
O132	1.5	-0.5	-0.5	-0.5
O133	-0.27	0.8	0.77	-1.3
O134	-0.81	-0.81	0.4	1.23
O135	0.0	0.0	0.0	0.0
O136	0.14	0.97	-1.4	0.29
O137	0.0	0.0	0.0	0.0
O138	-0.24	0.08	1.29	-1.13
O139	0.99	0.58	-1.26	-0.32
O14	-0.63	0.83	0.87	-1.08
O140	-0.5	-0.5	-0.5	1.5
O141	-0.5	-0.5	-0.5	1.5
O142	1.12	0.57	-0.84	-0.84
O143	-0.84	-0.84	0.52	1.15
O144	0.3	-1.48	0.52	0.67
O145	0.79	0.0	-1.41	0.62
O146	1.5	-0.5	-0.5	-0.5
O147	1.33	0.2	-0.87	-0.66
O148	1.5	-0.5	-0.5	-0.5
O149	0.91	0.38	-1.42	0.13
O15	-0.33	0.65	0.94	-1.26
O150	1.16	0.51	-0.83	-0.83
O151	0.0	0.0	0.0	0.0
O152	1.18	0.48	-0.75	-0.9
O153	0.0	0.0	0.0	0.0
O154	-0.85	0.59	1.1	-0.85
O155	0.0	0.0	0.0	0.0
O156	-0.87	-0.87	0.9	0.83
O157	1.15	0.53	-0.84	-0.83
O158	1.03	0.68	-0.86	-0.86
O159	-0.5	-0.5	-0.5	1.5
O16	-0.51	0.59	1.05	-1.13
O160	0.84	0.64	-0.11	-1.37
O161	1.5	-0.5	-0.5	-0.5
O162	0.75	0.97	-0.86	-0.86
O163	-0.5	1.5	-0.5	-0.5
O164	1.28	0.23	-1.06	-0.45
O165	-0.5	-0.5	1.5	-0.5
O166	0.43	0.6	0.46	-1.5
O167	0.0	0.0	0.0	0.0
O168	1.43	-0.09	-0.79	-0.56
O169	-0.5	-0.5	-0.5	1.5
O17	0.03	1.19	0.03	-1.26
O170	-0.86	1.01	0.7	-0.86
O171	0.76	0.53	0.16	-1.45
O172	-1.09	-0.58	1.06	0.61
O173	0.87	0.48	0.06	-1.41
O174	-0.9	1.34	0.16	-0.6
O175	0.62	1.08	-0.85	-0.85
O176	1.25	-0.37	0.23	-1.11
O177	-0.85	0.66	1.05	-0.85
O178	1.09	0.55	-0.54	-1.1
O179	0.0	0.0	0.0	0.0
O18	-0.28	1.08	0.45	-1.25
O180	0.87	0.87	-0.87	-0.87
O181	1.5	-0.5	-0.5	-0.5
O182	0.6	1.07	-0.58	-1.08
O183	-0.5	-0.5	1.5	-0.5
O184	0.0	0.0	0.0	0.0
O185	-0.87	-0.87	0.82	0.91
O186	0.0	0.0	0.0	0.0
O187	1.02	0.69	-0.86	-0.86
O188	0.0	0.0	0.0	0.0
O189	-0.5	-0.5	-0.5	1.5
O19	0.49	0.64	0.36	-1.49
O190	1.38	-0.79	-0.67	0.08
O191	0.64	1.06	-0.96	-0.74
O192	0.35	-1.49	0.56	0.59
O193	1.19	0.17	-1.24	-0.12
O194	-1.29	0.44	1.05	-0.2
O195	0.0	0.0	0.0	0.0
O196	0.94	0.49	-0.07	-1.36
O197	-0.85	-0.85	0.64	1.07
O198	-0.86	-0.86	0.7	1.02
O199	-0.5	-0.5	-0.5	1.5
O20	-0.36	1.05	0.53	-1.22
O200	-1.46	0.21	0.52	0.74
O201	1.2	0.43	-0.95	-0.68
O202	-0.5	-0.5	-0.5	1.5
O203	-0.24	1.21	-1.2	0.23
O204	0.98	0.74	-0.86	-0.86
O205	1.5	-0.5	-0.5	-0.5
O206	-0.85	0.62	1.08	-0.85
O207	0.0	0.0	0.0	0.0
O208	0.36	0.46	0.67	-1.49
O209	0.69	0.25	-1.47	0.53
O21	-0.16	0.98	0.51	-1.33
O210	1.15	0.52	-0.72	-0.95
O211	0.72	-0.86	1.0	-0.86
O212	0.74	0.32	-1.47	0.41
O213	0.0	0.0	0.0	0.0
O214	0.84	0.89	-0.87	-0.87
O215	0.89	0.84	-0.87	-0.87
O216	-1.33	-0.18	0.62	0.89
O217	-0.86	0.8	0.93	-0.86
O218	-0.86	-0.86	0.69	1.02
O219	-0.87	-0.87	0.91	0.82
O22	-0.73	0.99	0.73	-0.98
O220	0.33	0.34	0.79	-1.46
O221	0.81	0.51	0.12	-1.44
