C0 (29 genes)	C1 (16 genes)	C2 (12 genes)	C3 (12 genes)	C4 (15 genes)	C5 (11 genes)
Objects	Objects	Objects	Objects	Objects	Objects
O117	O239	O157	O19	O269	O03
O129	O260	O178	O208	O322	O07
O130	O270	O356	O221	O333	O08
O142	O314	O519	O41	O340	O21
O150	O357	O552	O43	O347	O24
O152	O377	O591	O44	O353	O25
O158	O533	O64	O49	O426	O29
O187	O540	O661	O51	O586	O31
O253	O693	O672	O52	O664	O32
O341	O718	O771	O53	O806	O412
O371	O727	O858	O841	O835	O954
O397	O744	O897	O99	O885	
O403	O822			O889	
O515	O847			O933	
O553	O953			O95	
O610	O982				
O619					
O633					
O643					
O723					
O756					
O769					
O789					
O797					
O819					
O859					
O903					
O984					
O986					
