C0 (18 OGs)			C1 (11 OGs)			C2 (22 OGs)		
OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe
117886	854943	2539411	110453	853993	2539701,2540851	113608	852293	2541116,2542190
122170	855420	2541486	110643	854117	2538892,2542912	130606	855269	2538897
135080	850456	2539729	110649	855972	2539680,2543642	137181	856063	2540871
137043	853833	2543527,2538948	136841	852432	2540027	2076	855600	2541812
137075	851115	2538955,2543426	25175	856529	2542512	3060	851195	2543662
20435	853497	2540750	38714	851763	2543429	31432	851419,851336	2539308
38006	853968	2540201	39104	852973	2542959	31948	854518	2540989
39847	854903	2542267	49042	854127	2540920,2542989	3586	856226	2539663
56254	855804	2543379,2541480	5530	851334	2540399	3672	856687	2542663
6137	856601	2543420	69045	854889	2540936,2539864	38872	852146	2541295,2539466,2541799,2542927
6526	851098	2543476	74795	851369,855512	2540199	40365	854515	2538869,2539097,3361387
68174	856911	2543064,2542363				5044	850745	3361266,2542109
68737	856609	2543024,2542289,2541387				5524	851319	2542369
68748	854699	2541948				5576	851499	2541779
7101	856013	2541392,2541377,2541401,2541374				5590	851530	2543197
747	854229	2543309,2542265				6120	856553	2542514
766	852853	2542848,2542661				6170	854717	2538900
81653	855552	2539756,2541447				6229	853317	2542192
						6785	855591	2542520
						68963	856017	2543325,3361570
						7061	855875	2543082
						81844	853364	2541318,2541496
