C0 (139 OGs)			C1 (30 OGs)			C2 (106 OGs)			C3 (26 OGs)		
OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe
10133	854078	2540268	1099	851548	2540479	101615	853925	2543068	100743	856924,851676	2542252
101633	855663	2540699	129653	854157	2543112	104074	851480	2541233	101043	855879	2541666
1040	852757	2540057	136941	852773	2543087	110453	853993	2539701,2540851	105237	854419	5802702
1045	850872	2542481	137162	854501	2543410	110643	854117	2538892,2542912	1158	856201	2542339
1061	853083	2540303	1412	853311	2541544	110649	855972	2539680,2543642	123869	854026	2541706,2539870
113207	852922,851058	2540274	1519	853272	2542898	113632	854014,852154,852720,852844	2543471	136880	851865	2538985,2542447
113608	852293	2541116,2542190	1624	855998	3361514	115477	852775	2539548,2541130	2038	851647	2540680
116779	855400	2540319	2362	856203	2539290	117842	853361,853891	2541205	2592	855350	2541131,2539385
122159	851660	2541297	2900	853125	2542778	121574	855898	2539781	2839	852230	2543488
12327	852391	2542924	3020	853463	2543455	121727	855395	2543342	3221	855971	2542827,5802969
130606	855269	2538897	31646	853122	2540968	124449	855761	2538966,2542390	37715	850864	2542138,2541445
130616	854162	2543630	31886	855692	2541362	126	852306	2541407	5437	852559	2539183
133014	851484,851122	2543475	32308	853844	2538942	128489	855532	2539426	5673	851861	2543249
134329	852107	2538833	3280	850522	2543647	134140	852295	2542467,2541220,2539804	5830	856820	2540642
135202	851963	2538703	37704	856674	2540481	135089	853884	2542248	6009	853081	2541577
135300	850304	2542112	38291	853630	2541311	135205	852763	5802929	6157	854688	3361511
135378	853419	2541630	39986	855276	2543133	136835	852264,853233,854634,855802	2539861	6426	850633	2540026
136822	851196	2543241	40168	855782	2541708	136881	851878	2541078	6506	850997	2538806
136859	851407	2540674	40290	854334	2542890	136989	854682	2541489	6628	855117	2542795
136871	851656	2543219	40499	856134	2541858	137043	853833	2543527,2538948	6693	855321	2538920
136890	851969	2540076	49392	854909	2539325	137075	851115	2538955,2543426	68615	851317	2542911,2543419
136914	856692	2538768	5439	852564	2542340	137114	855626	2539953	68986	856294	2542013,2541612
136966	853160	2539889	5632	851698	2540604	137124	855764	2540068	6953	854292	2541024
137018	853458	2542038	5656	851798	2539691	137151	854372	2538976	70948	855521	2542742
137072	851049	2541610	6290	853534	2541465	137178	856021	2542419	94517	853147	2542919
137093	855158	2543371	68173	852317	2540017	1825	856720	2540428	95094	852456	2543099
137113	855618,854276	2540270	68226	851752	2539479	1906	853651	2542855			
137117	855664	2541274	69153	853348	2540685	197	851391	2541849			
137125	855774	2538809	7066	855887	2541872	21504	852515,852824	2541117			
137181	856063	2540871	74831	854447	2540897,2539445,2542991	2308	854680	2538881,2542638			
