Orthogroup	saccharomyces_cerevisiae	schizosaccharomyces_pombe
6	856079	2540616
12	851073	2539985
16	852842	2542373
17	851818	2542028
29	855993	2541313,2543377
32	856411	2539950,2539980
35	851862	2540525
76	851614	2541934
84	850527	2543269
96	854663	2542174
100	856112	2542075
113	854347	2539199
115	855866	2539345
126	852306	2541407
132	853183	2542406
141	855227	2542828
145	852495	2539625
148	854108	2542896
149	851671	2539215
158	851322	3361383
197	851391	2541849
208	855203	2539949
210	854063	2540695
227	850906	2542435
231	851158	2540626
257	850499	2541674
262	856733	2541631
320	851617	2539032
344	856918	2542203
372	855248	2542818
392	853568	2542128
409	851582	2543195
413	854986	2542022
446	853357	2543593
530	856399	2542886
531	856014	2540156
542	852902	2542494
554	856766	2541218
637	852617	2541034
665	852065	2539674
712	852522	2540273
721	851415	2540292
722	854322	2541446
725	856438	2541038
726	851898	2541395
730	854825	2543323
731	853821	2539933
747	854229	2543309,2542265
748	852319,851575	2541344,2539780
756	855415,854029	2539678,3361377
763	853051,852852	2541570,2538849
766	852853	2542848,2542661
776	855560,856544	2542789
779	855543	2539797
783	853587	2542939,2541712
788	854468,855270	3361259,2542561
794	851476,855174	2543559,2540812
799	853015,856250	2542012,2541369
803	856415,853700	2539969
806	856801,854744	2541695
834	854241	2542801
840	852291	2543267
856	851013	2541450
908	851420	2543214
975	852577	2539087
981	855574	2542814
1006	852612	2540419
1014	855083	2541600
1032	850643	2539278
1040	852757	2540057
1045	850872	2542481
1058	852545	2539795
1059	854703	2540295
1060	853643	2539788
1061	853083	2540303
1080	853896	2539154
1099	851548	2540479
1148	853344	2541881
1158	856201	2542339
1159	850691	2539194
1160	856169	2540343
1161	853161	2540071
1213	854513	2542031
1227	851812	2542704
1235	854105	2541338
1256	854261	2539937
1273	853585	2541927
1279	852424	2543408
1281	853782	2543469
1282	854509	2543000
1283	851892	2539241
1328	855474	2542721
1336	851768	2541128
1352	850946	2541551
1354	851024	2543516
1363	851450	2540471
1412	853311	2541544
1453	856465	2539832
1456	851726	2541170
1480	851260	2539275
1503	853121	2542385
1519	853272	2542898
1534	853849	2543143
1547	852418	2543181
1571	850714	2543020
1592	856145	2540472
1609	854913	2543141
1624	855998	3361514
1626	850963	2543131
1642	853852	2539412
1707	851061	2542496
1710	855356	2539387
1736	854166	2539042
1768	853422	2540589
1791	856680	2538838
1821	852071	2540684
1825	856720	2540428
1838	850704	2542316
1843	855779	2541430
1857	852789	2543416
1875	855708	2538928
1902	850625	2539968
1906	853651	2542855
1936	856382	2539997
1945	852385	2540020
1972	854879	2540664
1979	855131,853732	2540254
1980	853033	2542354
1982	855928	2540986
1986	850941	2543444
2004	855952	3361260
2014	851456	2540255
2016	854508	2539099
2017	854791	2538816
2018	852451	2541910
2019	852013	2542097
2032	853641	2543597
2038	851647	2540680
2060	856425	2539920
2076	855600	2541812
2080	855362	2542559
2081	854882	2539026
2082	854544	2539378
2083	853036	3361518
