C0 (1070 OGs)			C1 (94 OGs)			C2 (483 OGs)		
OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe
100558	851471	2539055	100	856112	2542075	10039	852491	2543465
100734	851666	2542925	100661	854418	2543506	100530	850614,852639	2542634
100743	856924,851676	2542252	101331	855593	2541829	100630	854433	2539189
10085	850605	2539648	105685	856855	2540081	100830	851212	2538913
10098	854446	2543549	115735	854527	2539723	100934	850543	2543280
101043	855879	2541666	1160	856169	2540343	10117	856009	2539952
101105	855243	2540506	117784	856691	2540746	101615	853925	2543068
101298	852822	2542622	117890	855168	2541503	102045	851591	2541725
10133	854078	2540268	122138	856533	2541067	1032	850643	2539278
101539	850892	2540407	129854	854385	2542233	103998	853303,853933	2542948
101541	856530	2539676	130608	855346	2543626	10409	854168	2542401
101552	852330	2540846	133264	853104	2540779	105237	854419	5802702
101565	851618	2539188	133744	856672	2539146	105262	856870	2541193
101614	856386,853861	2540466	135206	856263	2543360	105687	850805	2541794
101618	850824	2542839	135409	852538	2539280	10592	855503	2542096
101633	855663	2540699	136519	854902,851169	2539372	110703	855784	2539922
10201	853628	2539739	136821	851256	2541538	113185	855842	2541780
102073	854808,855288	2541350	136827	852194	2542438	113660	854933	2541088
103828	855925	2539791	136834	852248	2539434	1148	853344	2541881
103894	856704	2540738	136886	851925	2539121	115	855866	2539345
1040	852757	2540057	136950	852952	2542871	115477	852775	2539548,2541130
104074	851480	2541233	136974	856388,853864	2542425	115598	851516	2539270
104091	853559	2541584	137182	856070	2543515	1158	856201	2542339
104109	855936	2543358	16	852842	2542373	1159	850691	2539194
104264	853671	2540405	1626	850963	2543131	117751	850409	2543107
1045	850872	2542481	1710	855356	2539387	117752	855783	2543432
105284	855587	2541195	2004	855952	3361260	117777	851932	2539613
105453	851833	2540976	20277	853427	2540381	117780	852081	2542501
105462	850682,856352	2540517	208	855203	2539949	117811	853009	2540192
105690	850964,854342	2543328	2104	854435	2538912	117842	853361,853891	2541205
1058	852545	2539795	231	851158	2540626	117898	855436	2541290
1059	854703	2540295	31619	852712	2539008	117919	854406,855963	2540919
1060	853643	2539788	31647	853130	2540323	117936	856222	2541506
1061	853083	2540303	31660	856370	2540527	120306	850368,855736	2542020
107623	851337	2542023	3476	852521	2540573	12070	853962	2541915
1080	853896	2539154	3597	850973	2540308	121574	855898	2539781
10975	856837	2541642	36144	854539	2541210	122155	852172	2541611
1099	851548	2540479	36170	850530	2539501	122248	850612	2538953
