C0 (181 OGs)			C1 (84 OGs)			C2 (155 OGs)		
OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe
10133	854078	2540268	103894	856704	2540738	100743	856924,851676	2542252
101633	855663	2540699	104109	855936	2543358	100934	850543	2543280
1040	852757	2540057	104264	853671	2540405	101043	855879	2541666
1045	850872	2542481	113185	855842	2541780	101615	853925	2543068
1061	853083	2540303	117751	850409	2543107	102045	851591	2541725
113207	852922,851058	2540274	117784	856691	2540746	104074	851480	2541233
113608	852293	2541116,2542190	117870	850786	2539142	110453	853993	2539701,2540851
116779	855400	2540319	117886	854943	2539411	110643	854117	2538892,2542912
117682	855919	2539918	122170	855420	2541486	110649	855972	2539680,2543642
12196	850549	2540598	123869	854026	2541706,2539870	113632	854014,852154,852720,852844	2543471
122159	851660	2541297	123916	850392	2540853	115477	852775	2539548,2541130
12327	852391	2542924	124444	854867	2538748	117780	852081	2542501
129653	854157	2543112	124448	855747	2540279	117811	853009	2540192
130606	855269	2538897	128665	854179	2539379	117842	853361,853891	2541205
130616	854162	2543630	130603	855043	2539161	120306	850368,855736	2542020
133014	851484,851122	2543475	130610	855418,854036	2541468	121574	855898	2539781
134329	852107	2538833	133744	856672	2539146	121727	855395	2543342
135202	851963	2538703	134212	852673	2540784	123986	850930	2543027
135300	850304	2542112	136880	851865	2538985,2542447	124449	855761	2538966,2542390
135378	853419	2541630	137127	854020	2542077	126	852306	2541407
136822	851196	2543241	137184	856136	2540555	128489	855532	2539426
136859	851407	2540674	1736	854166	2539042	134140	852295	2542467,2541220,2539804
136871	851656	2543219	1768	853422	2540589	135089	853884	2542248
136890	851969	2540076	1979	855131,853732	2540254	135205	852763	5802929
136914	856692	2538768	1980	853033	2542354	136835	852264,853233,854634,855802	2539861
136966	853160	2539889	1986	850941	2543444	136881	851878	2541078
137018	853458	2542038	2106	854810	2543070	136915	856702	2541010
137041	853781,856059	2542298	22046	853906	2539670	136989	854682	2541489
137053	850652	2543155	23455	854466	2538749	136994	854760	2540461,2543017
137072	851049	2541610	2926	855906	2542857	137043	853833	2543527,2538948
137081	854881	2542351	31431	853135	2543386	137075	851115	2538955,2543426
137093	855158	2543371	3193	851981	2543663	137114	855626	2539953
137113	855618,854276	2540270	32731	854816	2542872	137124	855764	2540068
137117	855664	2541274	3279	856423	2542415	137151	854372	2538976
137125	855774	2538809	32809	850519	2542981	137178	856021	2542419
137147	854293	2539062	3426	856571	2542880	1825	856720	2540428
137181	856063	2540871	34602	853259	2543406	1906	853651	2542855
1412	853311	2541544	3637	853632	2540720	197	851391	2541849
1453	856465	2539832	37448	852380,852250	2540900	21504	852515,852824	2541117
1519	853272	2542898	37483	855328	2539090	2308	854680	2538881,2542638
1592	856145	2540472	37715	850864	2542138,2541445	2404	856891	2541582
1857	852789	2543416	38006	853968	2540201	262	856733	2541631
1902	850625	2539968	38195	850863	2542843	2839	852230	2543488
1945	852385	2540020	38361	852242	2539752	3064	854778	2543351
2076	855600	2541812	38771	851923	2542423	31471	852499	2541726
2109	851408	2543347,2542907	38816	852016	2542375	31576	852092	2539926
21477	852322	2543492	39154	853098	2539294	3159	855324	2543490
21491	852438	2543414	39427	853398	2539983	31840	855201	2542274
21578	851403	2541000	39527	853716	2539100	31983	854511	2540385
22221	855492	2538694,2539601	40053	855448	2540728	3221	855971	2542827,5802969
2699	851100	2541017	40061	856560,855464	2542216	34343	851086	2539580
2781	855357	2543621	40393	855821	2541202	34364	851938	2541632,2539460
29	855993	2541313,2543377	41080	854335	2538767	34457	851503	2541871,2541153
2991	852549	2539887	41747	855182	2540493	35	851862	2540525
3060	851195	2543662	41914	850507	2542687	36388	854257	2543002
3133	853681	2540711	4662	856576	2540790	37259	853387	2543645
31432	851419,851336	2539308	4687	851748	2542107	37487	856876	2541727
31631	852802	2540213	4705	850589	2541319	37889	851421,851339	2540072
31858	855424	2540023	48879	850687	2541828	38392	852346	2540296
31886	855692	2541362	4973	853187	2539673	38402	852366	2539157
31948	854518	2540989	5250	852785	2541485	38612	851487	2543291
32	856411	2539950,2539980	5429	852537	2540830	38633	851558	2539495
