C0 (24 OGs)			C1 (31 OGs)		
OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe
115477	852775	2539548,2541130	113608	852293	2541116,2542190
117886	854943	2539411	130606	855269	2538897
122170	855420	2541486	133014	851484,851122	2543475
134140	852295	2542467,2541220,2539804	137117	855664	2541274
135080	850456	2539729	137181	856063	2540871
137043	853833	2543527,2538948	1902	850625	2539968
137075	851115	2538955,2543426	31432	851419,851336	2539308
20435	853497	2540750	31948	854518	2540989
31762	850637	2539923	32	856411	2539950,2539980
32731	854816	2542872	3586	856226	2539663
38006	853968	2540201	3672	856687	2542663
39847	854903	2542267	38872	852146	2541295,2539466,2541799,2542927
40061	856560,855464	2542216	39311	854711	2539319
49042	854127	2540920,2542989	39632	850631	2540934,2539551,2540262,2540940,2540286
56254	855804	2543379,2541480	40365	854515	2538869,2539097,3361387
6137	856601	2543420	5044	850745	3361266,2542109
6526	851098	2543476	5524	851319	2542369
68174	856911	2543064,2542363	5576	851499	2541779
68737	856609	2543024,2542289,2541387	5590	851530	2543197
68748	854699	2541948	5835	856846	2539863
7101	856013	2541392,2541377,2541401,2541374	6120	856553	2542514
747	854229	2543309,2542265	6170	854717	2538900
766	852853	2542848,2542661	6229	853317	2542192
81653	855552	2539756,2541447	6498	850982	2538776
			68364	851713	2543193,2540937
			68963	856017	2543325,3361570
			7061	855875	2543082
			71144	853792	2538733,2538958,2539138,2539052
			74795	851369,855512	2540199
			776	855560,856544	2542789
			81844	853364	2541318,2541496
